"","sampProp","sampN","diagNMI","ageNMI","sexNMI","diagProp","ageProp","sexProp","diagAgree","ageAgree","sexAgree"
"3920",0.6,155,0.0457196199178365,0.176686581657683,0.232151526705484,0.0931776556776557,0.335851648351648,0.213141025641026,0.878663003663004,0.823717948717949,0.885989010989011
"3921",0.6,155,0.0607897295461946,0.208885071441793,0.200082420058291,0.116071428571429,0.326923076923077,0.223443223443223,0.863095238095238,0.846153846153846,0.871794871794872
"3922",0.6,155,0.0506839014661212,0.170543001989771,0.206938485989716,0.101648351648352,0.323946886446886,0.222298534798535,0.872710622710623,0.825549450549451,0.875
"3923",0.6,155,0.0415074784387667,0.2080781982787,0.188551642103054,0.110119047619048,0.324862637362637,0.228021978021978,0.857600732600733,0.846611721611722,0.865384615384615
"3924",0.6,155,0.037335814475182,0.198496053677232,0.22875535440379,0.110347985347985,0.321199633699634,0.220467032967033,0.854395604395604,0.842948717948718,0.884157509157509
"3925",0.6,155,0.0426569770102187,0.154254612486094,0.222143494615173,0.0950091575091575,0.328983516483517,0.226419413919414,0.875,0.812728937728938,0.880494505494505
"3926",0.6,155,0.0261550304994451,0.234829801924438,0.19552297495666,0.0927197802197802,0.332875457875458,0.222527472527473,0.866758241758242,0.856227106227106,0.86996336996337
"3927",0.6,155,0.046086832794955,0.150333353530777,0.24135013320237,0.0902014652014652,0.333791208791209,0.233058608058608,0.881868131868132,0.807692307692308,0.886446886446886
"3928",0.6,155,0.0397554033791992,0.181648958188857,0.206353110243428,0.0853937728937729,0.316391941391941,0.220924908424908,0.883241758241758,0.835164835164835,0.875
"3929",0.6,155,0.0225704761144197,0.202200203837161,0.20020346906402,0.0995879120879121,0.329212454212454,0.229166666666667,0.855769230769231,0.841575091575092,0.870421245421245
"3930",0.6,155,0.0718382317804673,0.214258665793208,0.223013193140786,0.105082417582418,0.332875457875458,0.216804029304029,0.880494505494505,0.846153846153846,0.882326007326007
"3931",0.6,155,0.0269754508336588,0.213314160500201,0.2093229320789,0.0963827838827839,0.328983516483517,0.210622710622711,0.863095238095238,0.847527472527473,0.877289377289377
"3932",0.6,155,0.0362015405771846,0.18015384704236,0.218914336280338,0.0913461538461538,0.321428571428571,0.226648351648352,0.875,0.832417582417582,0.879120879120879
"3933",0.6,155,0.0325446842231564,0.189873717184582,0.211195851472933,0.0970695970695971,0.333104395604396,0.215430402930403,0.866300366300366,0.832875457875458,0.877747252747253
